ACCNKBLUETOOTH,ACC NOKIA BLUETOOTH,BLUETOOTH,NOKIA
BB9800BLKM,BLACK BERRY 9800 BLACK MALAY,HP,BLACK BERRY
BB9800SILM,BLACK BERRY 9800 WHITE MALAY,HP,BLACK BERRY
BB9800BLKC,BLACK BERRY 9800 BLACK CHINESE,HP,BLACK BERRY
BB9800SILC,BLACK BERRY 9800 WHITE CHINESE,HP,BLACK BERRY
BBPLAYBOOK64GB,BLACK BERRY PLAYBOOK 64GB,HP,BLACK BERRY
CNB98BLK,CN B98 BLACK,HP,CN
CNB98BLKMALAY,CN B98 BLACK MALAY,HP,CN
CNB98WHT,CN B98 WHITE,HP,CN
CNB98WHTMALAY,CN B98 WHITE MALAY,HP,CN
CNC5-03BLKC,CN C5-03 BLACK CHINESE,HP,CN
CNC5-03SILC,CN C5-03 SILVER CHINESE,HP,CN
CNC5-03BROWNC,CN C5-03 BROWN CHINESE,HP,CN
CNC5-03BLKM,CN C5-03 BLACK MALAY,HP,CN
CNC5-03SILVERM,CN C5-03 SILVER MALAY,HP,CN
CNC5-03BROWNM,CN C5-03 BROWN MALAY,HP,CN
CNC7BLKMALAY,CN C7 BLACK MALAY,HP,CN
CNC7BLKCHINESE,CN C7 BLACK CHINESE,HP,CN
CNC7BROWMALAY,CN C7 BROW MALAY,HP,CN
CNC7BROWCHINESE,CN C7 BROW CHINESE,HP,CN
CNC7SILVERMALAY,CN C7 SILVER MALAY,HP,CN
CNC7SILVERCHINESE,CN C7 SILVER CHINESE,HP,CN
CNE7BLKCHINESE,CN E7 BLACK CHINESE,HP,CN
CNE7SILVERCHINESE,CN E7 SILVER CHINESE,HP,CN
CNE7BROWNCHINESE,CN E7 BROWN CHINESE,HP,CN
CNI4BLK,CN I4 BLACK,HP,CN
CNI4WHT,CN I4 WHITE,HP,CN
CNN8BLK,CN N8 BLACK,HP,CN
CNN8GREY,CN N8 GREY,HP,CN
CNN8SILVER,CN N8 SILVER,HP,CN
CNN8BROWN,CN N8 BROWN,HP,CN
EXE3,Ex Mobile E3,HP,Ex Mobile
EXE73,Ex Mobile E73,HP,Ex Mobile
EXT3,Ex Mobile T3,HP,Ex Mobile
EXT5,Ex Mobile T5,HP,Ex Mobile
EXT6,Ex Mobile T6,HP,Ex Mobile
EXT8,Ex Mobile T8,HP,Ex Mobile
EXW3,Ex Mobile W3,HP,Ex Mobile
EXW5,Ex Mobile W5,HP,Ex Mobile
EXW7,Ex Mobile W7,HP,Ex Mobile
EXW9,Ex Mobile W9,HP,Ex Mobile
FITE86BLK,FIX Mobile E86 BLACK,HP,FIX Mobile
FITE86RED,FIX Mobile E86 RED,HP,FIX Mobile
FITE86WHT,FIX Mobile E86 WHITE,HP,FIX Mobile
FIXG41RED,FIX Mobile G41 RED,HP,FIX Mobile
FIXG41WHT,FIX Mobile G41 WHITE,HP,FIX Mobile
FIXG41BLK,FIX Mobile G41 BLACK,HP,FIX Mobile
FIXG55BLK,FIX Mobile G55 BLACK,HP,FIX Mobile
FIXG55PPL,FIX Mobile G55 PURPLE,HP,FIX Mobile
FIXG55RED,FIX Mobile G55 RED,HP,FIX Mobile
FIXG55WHT,FIX Mobile G55 WHITE,HP,FIX Mobile
FIXG97BLK,FIX Mobile G97 BLACK,HP,FIX Mobile
FIXG97RED,FIX Mobile G97 RED,HP,FIX Mobile
FIXG97WHT,FIX Mobile G97 WHITE,HP,FIX Mobile
FIXM9BLK,FIX Mobile M9 BLACK,HP,FIX Mobile
FIXM9GREY,FIX Mobile M9 GREY,HP,FIX Mobile
FIXM9RED,FIX Mobile M9 RED,HP,FIX Mobile
FIXM9WHT,FIX Mobile M9 WHITE,HP,FIX Mobile
FIXM99WHT,FIX Mobile M99 WHITE,HP,FIX Mobile
FIXM99BLK,FIX Mobile M99 BLACK,HP,FIX Mobile
FIXM99RED,FIX Mobile M99 RED,HP,FIX Mobile
FIXM99GREY,FIX Mobile M99 GREY,HP,FIX Mobile
FIXMINIP4BLK,FIX Mobile MINI P4 BLACK,HP,FIX Mobile
FIXMINIP4WHT,FIX Mobile MINI P4 WHITE,HP,FIX Mobile
FIXS1100BLK,FIX Mobile S1100 BLACK,HP,FIX Mobile
FIXS1100BLUE,FIX Mobile S1100 BLUE,HP,FIX Mobile
FIXS1100RED,FIX Mobile S1100 RED,HP,FIX Mobile
FIXT10BROWN,FIX Mobile T10 BROWN,HP,FIX Mobile
FIXT10GOLD,FIX Mobile T10 GOLD,HP,FIX Mobile
FIXT10RED,FIX Mobile T10 RED,HP,FIX Mobile
FIXT10BLK,FIX Mobile T10 BLACK,HP,FIX Mobile
FIXT10WHT,FIX Mobile T10 WHITE,HP,FIX Mobile
FIXT3BLK,FIX Mobile T3 BLACK,HP,FIX Mobile
FIXT3BLUE,FIX Mobile T3 BLUE,HP,FIX Mobile
FIXT3RED,FIX Mobile T3 RED,HP,FIX Mobile
FIXT3WHT,FIX Mobile T3 WHITE,HP,FIX Mobile
FIXT689WHT,FIX Mobile T689 WHITE,HP,FIX Mobile
FIXT689BLK,FIX Mobile T689 BLACK,HP,FIX Mobile
FIXT689BLUE,FIX Mobile T689 BLUE,HP,FIX Mobile
FIXT689RED,FIX Mobile T689 RED,HP,FIX Mobile
FIXT899BLK,FIX Mobile T899 BLACK,HP,FIX Mobile
FIXT899BLU,FIX Mobile T899 BLU,HP,FIX Mobile
FIXT899BROWN,FIX Mobile T899 BROWN,HP,FIX Mobile
FIXT899RED,FIX Mobile T899 RED,HP,FIX Mobile
FIXT899WHT,FIX Mobile T899 WHITE,HP,FIX Mobile
FIXT999BLK,FIX Mobile T999 BLACK,HP,FIX Mobile
FIXT999BLUE,FIX Mobile T999 BLUE,HP,FIX Mobile
FIXT999GREY,FIX Mobile T999 GREY,HP,FIX Mobile
FIXT999RED,FIX Mobile T999 RED,HP,FIX Mobile
FIXT999WHT,FIX Mobile T999 WHITE,HP,FIX Mobile
FIXU99BLK,FIX Mobile U99 BLACK,HP,FIX Mobile
FIXU99GOLD,FIX Mobile U99 GOLD,HP,FIX Mobile
FIXU99RED,FIX Mobile U99 RED,HP,FIX Mobile
FIXU99WHT,FIX Mobile U99 WHITE,HP,FIX Mobile
FIXX9RED,FIX Mobile X9 RED,HP,FIX Mobile
FIXX9BLK,FIX Mobile X9 BLACK,HP,FIX Mobile
FIXX9GREY,FIX Mobile X9 GREY,HP,FIX Mobile
FIXX9BLUE,FIX Mobile X9 BLUE,HP,FIX Mobile
FIXX9WHT,FIX Mobile X9 WHITE,HP,FIX Mobile
FIXX9GOLD,FIX Mobile X9 GOLD,HP,FIX Mobile
FIXX9IBLUE,FIX Mobile X9I BLUE,HP,FIX Mobile
HTCDESIREA8181,HTC DESIRE A8181,HP,HTC
HTCDESIREHD(A9191),HTC DESIRE HD(A9191),HP,HTC
IPIPHONE3GS16GB,IP IPHONE 3GS 16GB,HP,IPHONE
IPIPHONE3GS32GB,IP IPHONE 3GS 32GB,HP,IPHONE
IPIPHONE4GS16GBBLK,IP IPHONE 4GS 16GB BLACK,HP,IPHONE
IPIPHONE4GS32GBBLK,IP IPHONE 4GS 32GB BLACK,HP,IPHONE
IPIPHONE4GS16GBWHT,IP IPHONE 4GS 16GB WHITE,HP,IPHONE
IPIPHONE4GS32GBWHT,IP IPHONE 4GS 32GB WHITE,HP,IPHONE
NK1208,NOKIA 1208,HP,NOKIA
NK1280PPL,NOKIA 1280 PURPLE,HP,NOKIA
NK1280BLUE,NOKIA 1280 BLUE,HP,NOKIA
NK1280BLK,NOKIA 1280 BLACK,HP,NOKIA
NK1616BLK,NOKIA 1616 BLACK,HP,NOKIA
NK1661,NOKIA 1661,HP,NOKIA
NK1662,NOKIA 1662,HP,NOKIA
NK1680,NOKIA 1680,HP,NOKIA
NK1800BLUE,NOKIA 1800 BLUE,HP,NOKIA
NK1800BLK,NOKIA 1800 BLACK,HP,NOKIA
NK1800SIL,NOKIA 1800 SILVER,HP,NOKIA
NK2220PINK,NOKIA 2220 PINK,HP,NOKIA
NK2220BLK,NOKIA 2220 BLACK,HP,NOKIA
NK2323,NOKIA 2323,HP,NOKIA
NK2330,NOKIA 2330,HP,NOKIA
NK2600ORG,NOKIA 2600 ORANGE,HP,NOKIA
NK2600BLK,NOKIA 2600 BLACK,HP,NOKIA
NK2630,NOKIA 2630,HP,NOKIA
NK2680,NOKIA 2680,HP,NOKIA
NK2690BLUE,NOKIA 2690 BLUE,HP,NOKIA,
NK2690WHT,NOKIA 2690 WHITE,HP,NOKIA,
NK2690GREY,NOKIA 2690 GREY,HP,NOKIA,
NK2700,NOKIA 2700,HP,NOKIA,
NK2710,NOKIA 2710,HP,NOKIA,              
NK2730,NOKIA 2730,HP,NOKIA,
NK5030,NOKIA 5030,HP,NOKIA,
NK5130SIL,NOKIA 5130 SILVER,HP,NOKIA,
NK5130BLU,NOKIA 5130 BLUE,HP,NOKIA,
NK5130RED,NOKIA 5130 RED,HP,NOKIA,
NK5130WHT,NOKIA 5130 WHITE,HP,NOKIA,
NK5230,NOKIA 5230,HP,NOKIA,
NK5233,NOKIA 5233,HP,NOKIA,
NK5250WHT,NOKIA 5250 WHITE,HP,NOKIA,
NK5250RED,NOKIA 5250 RED,HP,NOKIA,
NK5250BLUE,NOKIA 5250 BLUE,HP,NOKIA,
NK5250BLK,NOKIA 5250 BLACK,HP,NOKIA
NK5530BLK,NOKIA 5530 BLACK,HP,NOKIA
NK5530WHT,NOKIA 5530 WHITE,HP,NOKIA
NK5800RED,NOKIA 5800 RED,HP,NOKIA
NK5800BLUE,NOKIA 5800 BLUE,HP,NOKIA
NK5800BLK,NOKIA 5800 BLACK,HP,NOKIA
NK6120BLK,NOKIA 6120 BLACK,HP,NOKIA
NK6120WHT,NOKIA 6120 WHITE,HP,NOKIA
NK6303SIL,NOKIA 6303 SILVER,HP,NOKIA
NK6303BLK,NOKIA 6303 BLACK,HP,NOKIA
NK6303BROWN,NOKIA 6303 BROWN,HP,NOKIA
NK6700SPPL,NOKIA 6700S PURPLE,HP,NOKIA
NK6700SBLUE,NOKIA 6700S BLUE,HP,NOKIA
NK6700SSIL,NOKIA 6700S SILVER,HP,NOKIA
NK6700SPINK,NOKIA 6700S PINK,HP,NOKIA
NK7230BLK,NOKIA 7230 BLACK,HP,NOKIA
NK7230PINK,NOKIA 7230 PINK,HP,NOKIA
NK7230SIL,NOKIA 7230 SILVER,HP,NOKIA
NKC101,NOKIA C101,HP,NOKIA
NKC2-01BLK,NOKIA C2-01 BLACK,HP,NOKIA
NKC2-01GOLD,NOKIA C2-01 GOLD,HP,NOKIA
NKC3BLU,NOKIA C3 BLUE,HP,NOKIA
NKC3PIN,NOKIA C3  PINK,HP,NOKIA
NKC3WHT,NOKIA C3  WHITE,HP,NOKIA
NKC3PPL,NOKIA C3 PURPLE,HP,NOKIA
NKC5,NOKIA C5,HP,NOKIA
NKC5-03BLK,NOKIA C5-03 BLACK,HP,NOKIA
NKC5-03GREEN,NOKIA C5-03 GREEN,HP,NOKIA
NKC6WHT,NOKIA C6WHITE,HP,NOKIA
NKC6BLK,NOKIA C6 BLACK,HP,NOKIA
NKC6-01WHT,NOKIA C6-01 WHITE,HP,NOKIA
NKC6-01BLK,NOKIA C6-01 BLACK,HP,NOKIA
NKC6-01SIL,NOKIA C6-01 SILVER,HP,NOKIA
NKC7SIL,NOKIA C7 SILVER,HP,NOKIA
NKC7BROWN,NOKIA C7 BROWN,HP,NOKIA
NKC7BLK,NOKIA C7 BLACK,HP,NOKIA
NKE5SIL,NOKIA E5 SILVER,HP,NOKIA
NKE5BLK,NOKIA E5 BLACK,HP,NOKIA
NKE63RED,NOKIA E63 RED,HP,NOKIA
NKE63WHT,NOKIA E63 WHITE,HP,NOKIA
NKE63BLK,NOKIA E63 BLACK,HP,NOKIA
NKE7BLK,NOKIA E7 BLACK,HP,NOKIA
NKE7WHT,NOKIA E7 WHITE,HP,NOKIA
NKE7BROWN,NOKIA E7 BROWN,HP,NOKIA
NKE71WHT,NOKIA E71 WHITE,HP,NOKIA
NKE71BLK,NOKIA E71 BLACK,HP,NOKIA
NKE71BROWN,NOKIA E71 BROWN,HP,NOKIA
NKE72BLK,NOKIA E72 BLACK,HP,NOKIA
NKE72RED,NOKIA E72 RED,HP,NOKIA
NKE72GOLD,NOKIA E72 GOLD,HP,NOKIA
NKE72WHT,NOKIA E72 WHITE,HP,NOKIA
NKN8ORG,NOKIA N8ORANGE,HP,NOKIA
NKN8GREY,NOKIA N8 GREY,HP,NOKIA
NKN8SIL,NOKIA N8 SILVER,HP,NOKIA
NKN8GREEN,NOKIA N8 GREEN,HP,NOKIA
NKN8BLUE,NOKIA N8 BLUE,HP,NOKIA
NKN86,NOKIA N86,HP,NOKIA
NKN900,NOKIA N900,HP,NOKIA
NKN97WHT,NOKIA N97 WHITE,HP,NOKIA
NKN97BROWN,NOKIA N97 BROWN,HP,NOKIA
NKN97BLK,NOKIA N97 BLACK,HP,NOKIA
NKN97MINIBLK,NOKIA N97 MINI BLACK,HP,NOKIA
NKN97MINIBROWN,NOKIA N97 MINI BROWN,HP,NOKIA
NKN97MINIWHT,NOKIA N97 MINI WHITE,HP,NOKIA
NKX1BLK,NOKIA X1 BLACK,HP,NOKIA
NKX1GREEN,NOKIA X1 GREEN,HP,NOKIA
NKX1BLUE,NOKIA X1 BLUE,HP,NOKIA
NKX1RED,NOKIA X1 RED,HP,NOKIA
NKX2SIL,NOKIA X2 SILVER,HP,NOKIA
NKX2BLK,NOKIA X2 BLACK,HP,NOKIA
NKX2-01WHT,NOKIA X2-01 WHITE,HP,NOKIA
NKX2-01BLK,NOKIA X2-01BLACK,HP,NOKIA
NKX2-01PPL,NOKIA X2-01 PURPLE,HP,NOKIA
NKX3SIL,NOKIA X3 SILVER,HP,NOKIA
NKX3BLK,NOKIA X3 BLACK,HP,NOKIA
NKX3-02WHT,NOKIA X3-02 WHITE,HP,NOKIA
NKX3-02BLU,NOKIA X3-02 BLUE,HP,NOKIA
NKX3-02PINK,NOKIA X3-02 PINK,HP,NOKIA
NKX3-02PPL,NOKIA X3-02 PURPLE,HP,NOKIA
NKX3-02SIL,NOKIA X3-02 SILVER,HP,NOKIA
NKX3-02BLK,NOKIA X3-02 BLACK,HP,NOKIA
NKX5-01,NOKIA X5-01,HP,NOKIA
NKX68GBBLK,NOKIA X6 8GB BLACK,HP,NOKIA
NKX68GBWHT,NOKIA X6 8GB WHITE,HP,NOKIA
NKX68GBPPL,NOKIA X6 8GB PURPLE,HP,NOKIA
NKX616GBBLK,NOKIA X6  16GB BLACK,HP,NOKIA
NKX616GBWHT,NOKIA X6  16GB WHITE,HP,NOKIA
NKX616GBPPL,NOKIA X6  16GBPURPLE,HP,NOKIA
NKX5SIL,NOKIA X5 SILVER,HP,NOKIA
NKX5PINK,NOKIA X5 PINK,HP,NOKIA
NKX5BLUE,NOKIA X5 BLUE,HP,NOKIA
SEC510,SONY ERICSSON C510,HP,SONY ERICSSON
SEC901,SONY ERICSSON C901,HP,SONY ERICSSON
SEC903,SONY ERICSSON C903,HP,SONY ERICSSON
SEF305,SONY ERICSSON F305,HP,SONY ERICSSON
SEJ10PINK,SONY ERICSSON J10 PINK,HP,SONY ERICSSON
SEJ10SIL,SONY ERICSSON J10 SILVER,HP,SONY ERICSSON
SEJ105WHT,SONY ERICSSON J105 WHITE,HP,SONY ERICSSON
SEJ105RED&SIL,SONY ERICSSON J105  RED& SILVER,HP,SONY ERICSSON
SEJ108RED,SONY ERICSSON J108 RED,HP,SONY ERICSSON
SEJ108PINK,SONY ERICSSON J108 PINK,HP,SONY ERICSSON
SEJ108WHT,SONY ERICSSON J108WHITE,HP,SONY ERICSSON
SEJ108BLK,SONY ERICSSON J108BLACK,HP,SONY ERICSSON
SEJ108SIL,SONY ERICSSON J108 SILVER,HP,SONY ERICSSON
SEJ20BLK,SONY ERICSSON J20 BLACK,HP,SONY ERICSSON
SEJ20RED,SONY ERICSSON J20 RED,HP,SONY ERICSSON
SEJ20SIL,SONY ERICSSON J20 SILVER,HP,SONY ERICSSON
SEM1BLK,SONY ERICSSON M1 BLACK,HP,SONY ERICSSON
SEM1WHT,SONY ERICSSON M1 WHITE,HP,SONY ERICSSON
SES312,SONY ERICSSON S312,HP,SONY ERICSSON
SET303,SONY ERICSSON T303,HP,SONY ERICSSON
SET707,SONY ERICSSON T707,HP,SONY ERICSSON
SET715,SONY ERICSSON T715,HP,SONY ERICSSON
SET717,SONY ERICSSON T717,HP,SONY ERICSSON
SEU1SATIOBLK,SONY ERICSSON U1 SATIO BLACK,HP,SONY ERICSSON
SEU1SATIORED,SONY ERICSSON U1 SATIO RED,HP,SONY ERICSSON
SEU1SATIOSIL,SONY ERICSSON U1 SATIO SILVER,HP,SONY ERICSSON
SEU10AINOBLK,SONY ERICSSON U10 AINO BLACK,HP,SONY ERICSSON
SEU10AINOWHT,SONY ERICSSON U10 AINO WHITE,HP,SONY ERICSSON
SEU5VIVAZRED,SONY ERICSSON U5 VIVAZ RED,HP,SONY ERICSSON
SEU5VIVAZBLK,SONY ERICSSON U5 VIVAZ BLACK,HP,SONY ERICSSON
SEU5VIVAZBLU,SONY ERICSSON U5 VIVAZ BLUE,HP,SONY ERICSSON
SEU5VIVAZPIN,SONY ERICSSON U5 VIVAZ PIN,HP,SONY ERICSSON
SEU5VIVAZSIL,SONY ERICSSON U5 VIVAZ SILVER,HP,SONY ERICSSON
SEU8VIVAZPROWHT,SONY ERICSSON U8 VIVAZ PRO WHITE,HP,SONY ERICSSON
SEU8VIVAZPROBLK,SONY ERICSSON U8 VIVAZ PRO BLACK,HP,SONY ERICSSON
SEVIVAZ(U5)BLK,SONY ERICSSON VIVAZ (U5) BLACK,HP,SONY ERICSSON
SEW100PIN,SONY ERICSSON W100 PIN,HP,SONY ERICSSON
SEW100BLK,SONY ERICSSON W100  BLACK,HP,SONY ERICSSON
SEW100WHT,SONY ERICSSON W100 WHITE,HP,SONY ERICSSON
SEW150BLK,SONY ERICSSON W150 BLACK,HP,SONY ERICSSON
SEW150PINK,SONY ERICSSON W150 PINK,HP,SONY ERICSSON
SEW150GREEN,SONY ERICSSON W150 GREEN,HP,SONY ERICSSON
SEW150WHT,SONY ERICSSON W150 WHITE,HP,SONY ERICSSON
SEW20BLK,SONY ERICSSON W20 BLACK,HP,SONY ERICSSON
SEW20SIL,SONY ERICSSON W20 SILVER,HP,SONY ERICSSON
SEW20RED,SONY ERICSSON W20 RED,HP,SONY ERICSSON
SEW20PINK,SONY ERICSSON W20 PINK,HP,SONY ERICSSON
SEW205WHT,SONY ERICSSON W205 WHITE,HP,SONY ERICSSON
SEW205BLK,SONY ERICSSON W205 BLACK,HP,SONY ERICSSON
SEW205PIN,SONY ERICSSON W205 PIN,HP,SONY ERICSSON
SEW350,SONY ERICSSON W350,HP,SONY ERICSSON
SEW395,SONY ERICSSON W395,HP,SONY ERICSSON
SEW508,SONY ERICSSON W508,HP,SONY ERICSSON
SEW580,SONY ERICSSON W580,HP,SONY ERICSSON
SEW595PINK,SONY ERICSSON W595 PINK,HP,SONY ERICSSON
SEW595SIL,SONY ERICSSON W595 SILVER,HP,SONY ERICSSON
SEW595BLK,SONY ERICSSON W595 BLACK,HP,SONY ERICSSON
SEW595WHT,SONY ERICSSON W595 WHITE,HP,SONY ERICSSON
SEW995RED8G,SONY ERICSSON W995 RED 8G,HP,SONY ERICSSON
SEW995BLK,SONY ERICSSON W995BLACK,HP,SONY ERICSSON
SEW995PIN,SONY ERICSSON W995PIN,HP,SONY ERICSSON
SEW995SIL,SONY ERICSSON W995SILVER,HP,SONY ERICSSON
SEX10WHT,SONY ERICSSON X10 WHITE,HP,SONY ERICSSON
SEX10BLK,SONY ERICSSON X10 BLACK,HP,SONY ERICSSON
SEX10MINIBLK,SONY ERICSSON X10 MINI BLACK,HP,SONY ERICSSON
SEX10MINIWHT,SONY ERICSSON X10 MINI WHITE,HP,SONY ERICSSON
SEX10MINIRED,SONY ERICSSON X10 MINI RED,HP,SONY ERICSSON
SEX10MINIPROBLK,SONY ERICSSON X10 MINI PRO BLACK,HP,SONY ERICSSON
SEX10MINIPROWHT,SONY ERICSSON X10 MINI PRO WHITE,HP,SONY ERICSSON
SEX10MINIPRORED,SONY ERICSSON X10 MINI PRO RED,HP,SONY ERICSSON
SEX2,SONY ERICSSON X2,HP,SONY ERICSSON
SEX12BLK,SONY ERICSSON X12 BLACK,HP,SONY ERICSSON
SEX12WHT,SONY ERICSSON X12 WHITE,HP,SONY ERICSSON
SEX12SIL,SONY ERICSSON X12 SILVER,HP,SONY ERICSSON
SEX8WHT,SONY ERICSSON X8 WHITE,HP,SONY ERICSSON
SEX8BLK,SONY ERICSSON X8 BLACK,HP,SONY ERICSSON
SEX8WHT&BLUE,SONY ERICSSON X8 WHITE & BLUE,HP,SONY ERICSSON
SEX8BLK,SONY ERICSSON X8 BLACK,HP,SONY ERICSSON
SS1080,SAMSUNG 1080,HP,SAMSUNG
SS2121,SAMSUNG 2121,HP,SAMSUNG
SS5830ACE,SAMSUNG 5830 ACE,HP,SAMSUNG
SS77232,SAMSUNG 77232,HP,SAMSUNG
SSCHAMP,SAMSUNG CHAMP,HP,SAMSUNG
SSGALAXY5,SAMSUNG GALAXY 5,HP,SAMSUNG
